Recommended_Career,Skills,Interests
Software Development and Engineering,"Performance Testing, Web Development, Operating Systems and Networking, API Testing, Mobile App Development","System Design, Backend Development, Cloud Computing, Coding Challenges, Open Source"
Development,"Web Development, Problem Solving and Analysis, Database Development, Mobile App Development, Communication","Web Development, Full Stack Development, App Creation, UX/UI Design, Agile Practices"
Data Science,"Data Engineering, Communication, CriticalThinking, Deeplearning, ProblemSolving","Big Data, Analytics, Predictive Modeling, Data Competitions, Data Visualization"
Development,"Web Development, Communication, Problem Solving, Time Management, Teamwork","Web Development, Full Stack Development, App Creation, UX/UI Design, Agile Practices"
Artificial Intelligence,"Machine Learning, Statistician, Statistics, Research on Artificial Intelligence and Machine learning, deepelearning","Natural Language Processing, Computer Vision, Robotics, AI Research, Deep Learning"
Software Development and Engineering,"System Design, Web Development, Project Management, Operating Systems and Networking, Cloud Computing","System Design, Backend Development, Cloud Computing, Coding Challenges, Open Source"
Data Science,"Critical Thinking, Interpersonal Skills, Statistical Analysis, Feature Generation, Data Analysis and Visualization","Big Data, Analytics, Predictive Modeling, Data Competitions, Data Visualization"
Software Development and Engineering,"Game Development, Web Development, Web based project develop, Cybersecurity, Artificial Intelligence (AI) and Machine Learning","System Design, Backend Development, Cloud Computing, Coding Challenges, Open Source"
Development,"Web Development, Web based project develop, Communication, Problem Solving, Time Management","Web Development, Full Stack Development, App Creation, UX/UI Design, Agile Practices"
Data Science,"Cloud Computing, Communication, Feature Engineering, Classification, Big Data Technologies","Big Data, Analytics, Predictive Modeling, Data Competitions, Data Visualization"
Artificial Intelligence,"Data Engineering, Machine Learning, Communication, Problem Solving, Time Management","Natural Language Processing, Computer Vision, Robotics, AI Research, Deep Learning"
Software Development and Engineering,"Project Management, Interpersonal Skills, Internet of Things, Problem Solving and Analysis, Software Quality Testing","System Design, Backend Development, Cloud Computing, Coding Challenges, Open Source"
User Experience (UX) and User Interface (UI) Design,"Video Editing & Animation, Graphic Design, Communication, Problem Solving, Time Management","General Technology Interests, Research, Innovation, Collaboration, Technology Trends"
Data Science,"Critical Thinking, Interpersonal Skills, Feature Engineering, Statistical Analysis, Data Analysis and Visualization","Big Data, Analytics, Predictive Modeling, Data Competitions, Data Visualization"
Security,"Cybersecurity, Problem Solving and Analysis, Research on Cyber Security, Communication, Problem Solving","General Technology Interests, Research, Innovation, Collaboration, Technology Trends"
Data Science,"Statistical Analysis, Data Structure, Data Analysis and Visualization, Communication, Problem Solving","Big Data, Analytics, Predictive Modeling, Data Competitions, Data Visualization"
Artificial Intelligence,"Data Engineering, Machine Learning, Artificial Intelligence (AI), Databases, Deep Learning","Natural Language Processing, Computer Vision, Robotics, AI Research, Deep Learning"
Development,"Mobile Application Development, Android App Develop, Communication, Problem Solving, Time Management","Web Development, Full Stack Development, App Creation, UX/UI Design, Agile Practices"
Software Development and Engineering,"Critical Thinking, Operating Systems and Networking, Interpersonal Skills, Cryptograph, Internet Safety","System Design, Backend Development, Cloud Computing, Coding Challenges, Open Source"
Security,"Network Security, Communication, Problem Solving, Time Management, Teamwork","General Technology Interests, Research, Innovation, Collaboration, Technology Trends"
Artificial Intelligence,"Machine Learning, Artificial Intelligence (AI), Research on Artificial Intelligence and Machine learning, Deep Learning, Image Processing","Natural Language Processing, Computer Vision, Robotics, AI Research, Deep Learning"
Artificial Intelligence,"Robotics Knowledge, Artificial Intelligence (AI) or Machine Learning, Internet of Things, Communication, Problem Solving","Natural Language Processing, Computer Vision, Robotics, AI Research, Deep Learning"
Artificial Intelligence,"Quran Recitation, Improving Quran Recognition, Communication, Problem Solving, Time Management","Natural Language Processing, Computer Vision, Robotics, AI Research, Deep Learning"
Artificial Intelligence,"Artificial Intelligence (AI) and Machine Learning, Research on Artificial Intelligence and Machine learning, Communication, Problem Solving, Time Management","Natural Language Processing, Computer Vision, Robotics, AI Research, Deep Learning"
Artificial Intelligence,"Project Management, Research on Artificial Intelligence and Machine learning, Problem Solving and Analysis, Working with robots, Artificial Intelligence (AI) and Machine Learning","Natural Language Processing, Computer Vision, Robotics, AI Research, Deep Learning"
Artificial Intelligence,"Data Engineering, Machine Learning, Artificial Intelligence (AI), Research on Artificial Intelligence and Machine learning for Natural Language Processing, Deep Learning","Natural Language Processing, Computer Vision, Robotics, AI Research, Deep Learning"
Software Development and Engineering,"Game Development, System Design, Project Management, Interpersonal Skills, Software Quality Testing","System Design, Backend Development, Cloud Computing, Coding Challenges, Open Source"
Development,"Database Development, Communication, Problem Solving, Time Management, Teamwork","Web Development, Full Stack Development, App Creation, UX/UI Design, Agile Practices"
Development,"Game Development, Web Development, problem solving, database development, Communication","Web Development, Full Stack Development, App Creation, UX/UI Design, Agile Practices"
Security,"Cryptograph, Regulation regarding cyber space, Network Security, Cybersecurity, Data Analysis and Visualization","General Technology Interests, Research, Innovation, Collaboration, Technology Trends"
Development,"Web Development, teamwork, adaptability, Problem-solving, Database Development","Web Development, Full Stack Development, App Creation, UX/UI Design, Agile Practices"
Artificial Intelligence,"Machine Learning, Artificial Intelligence (AI), Deep Learning, Cloud Technology, Workshop on Artificial Intelligence and Machine learning","Natural Language Processing, Computer Vision, Robotics, AI Research, Deep Learning"
Data Science,"Data Science, Data Engineering, Block Chain, Communication, Problem Solving","Big Data, Analytics, Predictive Modeling, Data Competitions, Data Visualization"
Development,"Web Development, Copy Writing, Mobile App Development, Software Quality Testing, Android App Develop","Web Development, Full Stack Development, App Creation, UX/UI Design, Agile Practices"
Software Development and Engineering,"Project Management, Operating Systems and Networking, Research on Artificial Intelligence and Machine learning, Problem Solving and Analysis, Research on Cyber Security","System Design, Backend Development, Cloud Computing, Coding Challenges, Open Source"
Development,"Website Building, Web Development, Graphic Design, Communication, Problem Solving","Web Development, Full Stack Development, App Creation, UX/UI Design, Agile Practices"
Development,"System Design, Web Development, Web based project developed, Communication, Problem Solving","Web Development, Full Stack Development, App Creation, UX/UI Design, Agile Practices"
Software Development and Engineering,"Game Development, Web Development, Project Management, Operating Systems and Networking, Research on Artificial Intelligence and Machine learning","System Design, Backend Development, Cloud Computing, Coding Challenges, Open Source"
User Experience (UX) and User Interface (UI) Design,"Photography, Communication, Problem Solving, Time Management, Teamwork","General Technology Interests, Research, Innovation, Collaboration, Technology Trends"
Artificial Intelligence,"Data Engineering, Artificial Intelligence (AI) and Machine Learning, Problem Solving and Analysis, Research on Artificial Intelligence and Machine learning, Communication","Natural Language Processing, Computer Vision, Robotics, AI Research, Deep Learning"
Data Science,"Data Engineering, Database Development, Problem Solving and Analysis, Communication, Feature Engineering","Big Data, Analytics, Predictive Modeling, Data Competitions, Data Visualization"
Development,"Web Developing, Communication, Problem Solving, Time Management, Teamwork","Web Development, Full Stack Development, App Creation, UX/UI Design, Agile Practices"
Artificial Intelligence,"Project Management, Interpersonal Skills, Internet of Things, Image Processing, Adaptability","Natural Language Processing, Computer Vision, Robotics, AI Research, Deep Learning"
Security,"Cybersecurity, Data Engineering, Network Security, Communication, Problem Solving","General Technology Interests, Research, Innovation, Collaboration, Technology Trends"
Data Science,"Critical Thinking, Data Engineering, Interpersonal Skills, Data Analytics, Data Analysis & Visualization","Big Data, Analytics, Predictive Modeling, Data Competitions, Data Visualization"
Software Development and Engineering,"Database Development, Communication, Problem Solving, Time Management, Teamwork","System Design, Backend Development, Cloud Computing, Coding Challenges, Open Source"
User Experience (UX) and User Interface (UI) Design,"UI/UX Knowledge, Graphic Design, Communication, Problem Solving, Time Management","General Technology Interests, Research, Innovation, Collaboration, Technology Trends"
Development,"Mobile App Development, Communication, Problem Solving, Time Management, Teamwork","Web Development, Full Stack Development, App Creation, UX/UI Design, Agile Practices"
Development,"Web Development, API Testing, Mobile App Development, Web based project develop, API Knowledge","Web Development, Full Stack Development, App Creation, UX/UI Design, Agile Practices"
Security,"Cryptograph, Problem Solving and Analysis, Network Security, Cybersecurity, Data Analysis and Visualization","General Technology Interests, Research, Innovation, Collaboration, Technology Trends"
Artificial Intelligence,"Statistical Analysis, Data Engineering, Machine Learning, Operating Systems and Networking, Communication","Natural Language Processing, Computer Vision, Robotics, AI Research, Deep Learning"
Artificial Intelligence,"Artificial Intelligence (AI), Communication, Problem Solving, Time Management, Teamwork","Natural Language Processing, Computer Vision, Robotics, AI Research, Deep Learning"
Data Science,"Artificial Intelligence and Machine learning, Critical Thinking, Machine Learning, Deep Learning, Statistical Analysis","Big Data, Analytics, Predictive Modeling, Data Competitions, Data Visualization"
Software Development and Engineering,"System Design, Project Management, Cloud Computing, Operating Systems and Networking, Database Development","System Design, Backend Development, Cloud Computing, Coding Challenges, Open Source"
Artificial Intelligence,"Internet of Things, Communication, Problem Solving, Time Management, Teamwork","Natural Language Processing, Computer Vision, Robotics, AI Research, Deep Learning"
Artificial Intelligence,"Artificial Intelligence (AI) and Machine Learning, Big Data Technologies, Research on Artificial Intelligence and Machine learning, Data Analysis and Visualization, Communication","Natural Language Processing, Computer Vision, Robotics, AI Research, Deep Learning"
Development,"System Design, Webbased project develop, Game Development, Language Education, Communication","Web Development, Full Stack Development, App Creation, UX/UI Design, Agile Practices"
Artificial Intelligence,"Cloud Computing, Artificial Intelligence (AI) and Machine Learning, Big Data Technologies, Communication, Problem Solving","Natural Language Processing, Computer Vision, Robotics, AI Research, Deep Learning"
Development,"Web development, Communication, Problem Solving, Time Management, Teamwork","Web Development, Full Stack Development, App Creation, UX/UI Design, Agile Practices"
Development,"Android App Develop, Web Development, Communication, Problem Solving, Time Management","Web Development, Full Stack Development, App Creation, UX/UI Design, Agile Practices"
Artificial Intelligence,"Artificial Intelligence (AI) and Machine Learning, Communication, Data Analysis and Visualization, Problem Solving, Time Management","Natural Language Processing, Computer Vision, Robotics, AI Research, Deep Learning"
Development,"Adaptability, Web Development, Mobile App Development, Communication, Problem Solving","Web Development, Full Stack Development, App Creation, UX/UI Design, Agile Practices"
Development,"Game Development, Communication, Problem Solving, Time Management, Teamwork","Web Development, Full Stack Development, App Creation, UX/UI Design, Agile Practices"
Security,"Cybersecurity, Communication, Problem Solving, Time Management, Teamwork","General Technology Interests, Research, Innovation, Collaboration, Technology Trends"
Development,"Web Development, Problem Solving and Analysis, Web based project develop, Communication, Problem Solving","Web Development, Full Stack Development, App Creation, UX/UI Design, Agile Practices"
Development,"Game Development, Web Development, Mobile App Development, Communication, Problem Solving","Web Development, Full Stack Development, App Creation, UX/UI Design, Agile Practices"
Artificial Intelligence,"Research on Artificial Intelligence and Machine learning, Communication, Problem Solving, Time Management, Teamwork","Natural Language Processing, Computer Vision, Robotics, AI Research, Deep Learning"
Software Development and Engineering,"System Design, Natural Language Processing, Project Management, Cybersecurity, Machine Learning","System Design, Backend Development, Cloud Computing, Coding Challenges, Open Source"
Artificial Intelligence,"Cloud Computing, Artificial Intelligence (AI) and Machine Learning, Research on Artificial Intelligence and Machine learning, Communication, Problem Solving","Natural Language Processing, Computer Vision, Robotics, AI Research, Deep Learning"
Data Science,"Statistical Analysis, Data Analytics, Data Engineering, Communication, Problem Solving","Big Data, Analytics, Predictive Modeling, Data Competitions, Data Visualization"
Software Development and Engineering,"System Design, Project Management, Cloud Computing, Operating Systems and Networking, Data Engineering","System Design, Backend Development, Cloud Computing, Coding Challenges, Open Source"
User Experience (UX) and User Interface (UI) Design,"Video Editing and Animation, Graphic Design, Communication, Problem Solving, Time Management","General Technology Interests, Research, Innovation, Collaboration, Technology Trends"
Security,"Cybersecurity, Research on Cyber Security, Communication, Problem Solving, Time Management","General Technology Interests, Research, Innovation, Collaboration, Technology Trends"
Security,"Critical Thinking, Communication, Network Security, Cybersecurity, Data Analysis and Visualization","General Technology Interests, Research, Innovation, Collaboration, Technology Trends"
Data Science,"Critical Thinking, Machine Learning, Data Early Warning, Artistic Expression, Feature Engineering","Big Data, Analytics, Predictive Modeling, Data Competitions, Data Visualization"
Software Development and Engineering,"System Design, Project Management, Cloud Computing, Operating Systems and Networking, Data Engineering","System Design, Backend Development, Cloud Computing, Coding Challenges, Open Source"
Artificial Intelligence,"Artificial Intelligence (AI) and Machine Learning, Research on Artificial Intelligence and Machine learning, Communication, Problem Solving, Time Management","Natural Language Processing, Computer Vision, Robotics, AI Research, Deep Learning"
Development,"Web Development, Mobile App Development, Communication, Problem Solving, Time Management","Web Development, Full Stack Development, App Creation, UX/UI Design, Agile Practices"
Development,"Game Development, Android App Develop, Research on Block Chain, Communication, Problem Solving","Web Development, Full Stack Development, App Creation, UX/UI Design, Agile Practices"
Security,"Blockchain, Government deputation attendence system, Deep Learning, Defense, Communication","General Technology Interests, Research, Innovation, Collaboration, Technology Trends"
Artificial Intelligence,"web development, Project Management, Critical Thinking, Data Engineering, Machine Learning","Natural Language Processing, Computer Vision, Robotics, AI Research, Deep Learning"
Security,"Network Topologies, Network Security, Communication, Problem Solving, Time Management","General Technology Interests, Research, Innovation, Collaboration, Technology Trends"
Development,"Web Development, Web basedproject develop, Communication, Problem Solving, Time Management","Web Development, Full Stack Development, App Creation, UX/UI Design, Agile Practices"
Development,"Game Development, Web Development, Communication, Problem Solving, Time Management","Web Development, Full Stack Development, App Creation, UX/UI Design, Agile Practices"
Artificial Intelligence,"Research on Artificial Intelligence and Machine learning, Problem Solving and Analysis, Data Engineer, Statistical Analysis, Artificial Intelligence (AI) and Machine Learning","Natural Language Processing, Computer Vision, Robotics, AI Research, Deep Learning"
Security,"System Design, Project Management, Cloud Computing, Operating Systems and Networking, Critical Thinking","General Technology Interests, Research, Innovation, Collaboration, Technology Trends"
Security,"Computer Network, Operating Systems and Networking, Cryptograph, Communication, Problem Solving","General Technology Interests, Research, Innovation, Collaboration, Technology Trends"
Security,"Critical Thinking, Communication, Network Security, Cybersecurity, Detection","General Technology Interests, Research, Innovation, Collaboration, Technology Trends"
Security,"Feature Engineering, System Design, Considered Adaptively, Communication, Problem Solving","General Technology Interests, Research, Innovation, Collaboration, Technology Trends"
Data Science,"Artificial Intelligence and Machine learning, Critical Thinking, Machine Learning, Deep Learning, Statistical Analysis","Big Data, Analytics, Predictive Modeling, Data Competitions, Data Visualization"
Software Development and Engineering,"Mobile Application Development, Web Development, Artificial Intelligence (AI), Database Development, Problem Solving and Analysis","System Design, Backend Development, Cloud Computing, Coding Challenges, Open Source"
Software Development and Engineering,"Web Development, Artificial Intelligence (AI), Research on Artificial Intelligence and Machine learning, Mobile App Development, Cyclone District","System Design, Backend Development, Cloud Computing, Coding Challenges, Open Source"
Artificial Intelligence,"Graphic Design, Internet of Things, Data Eng, Robotics Knowhow, Search Engine Optimization (SEO)","Natural Language Processing, Computer Vision, Robotics, AI Research, Deep Learning"
Artificial Intelligence,"Feature Engineering, Robotics Knowledge, Machine Learning, Big Data Technologies, Communication","Natural Language Processing, Computer Vision, Robotics, AI Research, Deep Learning"
Security,"Critical Thinking, Cryptograph, Database Development, Problem Solving and Analysis, Communication","General Technology Interests, Research, Innovation, Collaboration, Technology Trends"
Development,"Web Development, Mobile App Development, Android App Develop, UI/UX Knowledge, Software Development","Web Development, Full Stack Development, App Creation, UX/UI Design, Agile Practices"
Software Development and Engineering,"Critical Thinking, Operating Systems and Networking, Data Engineering, Mobile App Development, Interpersonal Skills","System Design, Backend Development, Cloud Computing, Coding Challenges, Open Source"
Artificial Intelligence,"Machine Learning, Internet of Things, working with IoT, working with robots, Feature Engineering","Natural Language Processing, Computer Vision, Robotics, AI Research, Deep Learning"
Data Science,"Critical Thinking, Database Development, Communication, Feature Engineering, Statistical Analysis","Big Data, Analytics, Predictive Modeling, Data Competitions, Data Visualization"
Software Development and Engineering,"Business Relationship, Web Development, Critical Thinking, Machine Learning, Artificial Intelligence (AI)","System Design, Backend Development, Cloud Computing, Coding Challenges, Open Source"
User Experience (UX) and User Interface (UI) Design,"UI/UX Related Job, UI/UX Knowledge, Graphic Design, Communication, Problem Solving","General Technology Interests, Research, Innovation, Collaboration, Technology Trends"
Data Science,"Database Development, Project Management, Communication, Data Analysis and Visualization, Problem Solving","Big Data, Analytics, Predictive Modeling, Data Competitions, Data Visualization"
Development,"System design, Website build, Communication, Problem Solving, Time Management","Web Development, Full Stack Development, App Creation, UX/UI Design, Agile Practices"
Software Development and Engineering,"Interpersonal Skills, Internet of Things, Problem Solving and Analysis, Communication, Software Quality Assurance","System Design, Backend Development, Cloud Computing, Coding Challenges, Open Source"
Development,"Web Development, Problem Solving and Analysis, Database Development, Communication, Problem Solving","Web Development, Full Stack Development, App Creation, UX/UI Design, Agile Practices"
Development,"Web Development, Coding Bootcamps and Workshops, JavaScript, Data Structures, Android App Develop","Web Development, Full Stack Development, App Creation, UX/UI Design, Agile Practices"
Security,"Cybersecurity, Cloud computing, Network security, Lifecycle of an object, Writing in English","General Technology Interests, Research, Innovation, Collaboration, Technology Trends"
Development,"Web Development, Mobile App Development, Android App Develop, Game Development; Problemsolvinganddirectiveabilities, Ux & Psychology knowledge","Web Development, Full Stack Development, App Creation, UX/UI Design, Agile Practices"
Security,"Artificial Intelligence and Technology, Duhamel System, Network Security, Communication, Problem Solving","General Technology Interests, Research, Innovation, Collaboration, Technology Trends"
Software Development and Engineering,"Game Development, Web Development, Critical Thinking, Interpersonal Skills, Mobile App Development","System Design, Backend Development, Cloud Computing, Coding Challenges, Open Source"
Security,"Mobile Application Development, Research on Cyber Security, Communication, Problem Solving, Time Management","General Technology Interests, Research, Innovation, Collaboration, Technology Trends"
Software Development and Engineering,"Project Management, Interpersonal Skills, Problem Solving and Analysis, Image Processing, Adaptability","System Design, Backend Development, Cloud Computing, Coding Challenges, Open Source"
Artificial Intelligence,"Feature Engineering, Statistical Analysis, Robotics Knowledge, Communication, Problem Solving","Natural Language Processing, Computer Vision, Robotics, AI Research, Deep Learning"
Security,"Artificial Intelligence and Machine learning, Operating Systems and Networking, Performancing Evaluation of Network, BlockChain, Working withnew ideas","General Technology Interests, Research, Innovation, Collaboration, Technology Trends"
Artificial Intelligence,"Critical Thinking, Data Engineering, Interpersonal Skills, Research on Artificial Intelligence and Machine learning, Problem Solving and Analysis","Natural Language Processing, Computer Vision, Robotics, AI Research, Deep Learning"
Development,"Performance Testing, Web Development, Project Management, API Testing, web based project test","Web Development, Full Stack Development, App Creation, UX/UI Design, Agile Practices"
Software Development and Engineering,"Web Development, Critical Thinking, Artificial Intelligence (AI), API Testing, Interpersonal Skills","System Design, Backend Development, Cloud Computing, Coding Challenges, Open Source"
Development,"Game Development, Problem Solving and Analysis, Mobile App Development, Communication, Problem Solving","Web Development, Full Stack Development, App Creation, UX/UI Design, Agile Practices"
Artificial Intelligence,"Database Development, Problem Solving and Analysis, Research on Artificial Intelligence and Machine learning, Communication, Problem Solving","Natural Language Processing, Computer Vision, Robotics, AI Research, Deep Learning"
Data Science,"Blockchain, Critical Thinking, Artificial Intelligence, Internet of Things, Communication","Big Data, Analytics, Predictive Modeling, Data Competitions, Data Visualization"
Security,"Critical Thinking, Communication, Network Security, Cybersecurity, Network Topologies","General Technology Interests, Research, Innovation, Collaboration, Technology Trends"
Software Development and Engineering,"Project Management, Interpersonal Skills, Communication, Adaptability, Web Development","System Design, Backend Development, Cloud Computing, Coding Challenges, Open Source"
Artificial Intelligence,"Teaching Assistantships (TAs), Research on Artificial Intelligence and Machine learning, Communication, Problem Solving, Time Management","Natural Language Processing, Computer Vision, Robotics, AI Research, Deep Learning"
Development,"Critical Thinking, Web Development, Cloud Computing, Communication, Adaptability","Web Development, Full Stack Development, App Creation, UX/UI Design, Agile Practices"
Data Science,"Data Engineering, Machine Learning, Data Structure, Problem Solving and Analysis, Statistical Analysis","Big Data, Analytics, Predictive Modeling, Data Competitions, Data Visualization"
Development,"Blockchain technology, Web Development, web based project develop, Communication, Problem Solving","Web Development, Full Stack Development, App Creation, UX/UI Design, Agile Practices"
Security,"Artificial Intelligence and Machine learning, Network Security, Communication, Problem Solving, Time Management","General Technology Interests, Research, Innovation, Collaboration, Technology Trends"
Software Development and Engineering,"Operating Systems and Networking, Problem Solving and Analysis, Communication, Cybersecurity, Artificial Intelligence (AI) and Machine Learning","System Design, Backend Development, Cloud Computing, Coding Challenges, Open Source"
Data Science,"Artificial Intelligence and Machine learning, Critical Thinking, Machine Learning, Deep Learning, Data Engagement","Big Data, Analytics, Predictive Modeling, Data Competitions, Data Visualization"
Data Science,"Statistical Analytics, Critical Thinking, Data Structure, Collaboration, Machine learning","Big Data, Analytics, Predictive Modeling, Data Competitions, Data Visualization"
Security,"Cryptograph, Problem Solution, Network Security, Cybersecurity, Data Analysis and Visualization","General Technology Interests, Research, Innovation, Collaboration, Technology Trends"
Development,"Game Development, Web Development, Mobile App Development, Communication, Problem Solving","Web Development, Full Stack Development, App Creation, UX/UI Design, Agile Practices"
Development,"System Design, Game Development, Web Development, Mobile App Development, Web based project develop","Web Development, Full Stack Development, App Creation, UX/UI Design, Agile Practices"
Data Science,"Critical Thinking, Database Development, Statistical Analysis, Feature Engineering, Engineering Communication","Big Data, Analytics, Predictive Modeling, Data Competitions, Data Visualization"
Security,"Cybersecurity, Communication, Problem Solving, Time Management, Teamwork","General Technology Interests, Research, Innovation, Collaboration, Technology Trends"
